25
123	121	10	26	63	37	75	9	2	120	15	1	72	56	14	12	87	62
11	22	68	39	19	102	62	92	29	117	21	98	48	86	67	88	99	83
96	16	48	62	46	112	120	5	107	20	112	121	73	99	8	47	101	124
5	73	122	6	67	2	116	108	53	105	36	24	88	62	57	87	87	73
26	102	42	11	0	118	13	11	72	119	63	120	91	112	126	115	40	1
58	86	121	107	83	27	15	97	54	118	110	86	41	68	88	119	2	26
72	82	23	86	88	71	29	5	111	38	2	27	50	73	54	32	72	36
29	11	45	44	32	35	66	61	117	75	117	17	109	115	4	67	54	78
87	110	35	14	100	17	120	57	116	6	32	0	57	50	23	37	28	69
113	46	15	23	52	111	74	51	42	78	0	9	79	8	77	54	53	117
57	70	91	67	2	24	122	58	17	4	101	64	115	64	109	80	29	116
3	98	110	126	20	69	99	119	89	75	54	24	101	54	58	64	58	18
28	1	75	6	53	30	65	124	37	116	35	23	73	15	86	115	81	82
101	28	107	86	88	78	35	78	109	126	32	19	93	31	51	63	126	96
79	114	98	109	33	102	18	51	26	23	16	48	126	46	86	9	122	125
80	78	56	78	58	66	38	10	72	27	7	48	125	39	47	3	120	7
80	94	84	65	18	107	85	124	110	127	123	102	20	40	86	76	116	14
82	105	96	16	86	40	117	16	67	18	3	124	111	72	87	75	101	15
26	18	35	62	61	116	57	63	64	59	53	26	127	40	86	73	52	126
103	8	43	30	10	99	47	77	120	72	9	53	78	58	47	85	55	90
92	4	80	18	3	71	7	120	113	86	68	38	50	27	62	115	117	93
24	40	67	36	54	43	90	80	33	4	40	124	111	86	96	27	49	91
35	80	75	17	16	104	49	34	115	115	78	109	30	19	75	81	124	99
26	57	10	51	48	57	6	86	70	106	107	123	35	104	15	86	94	73
127	31	115	59	61	11	22	26	72	82	13	33	31	64	54	109	66	16
55	4	79	59	73	49	5	0	111	10	61	47	84	8	98	57	45	46
6	94	103	95	75	39	88	82	80	30	3	24	59	18	55	116	70	46
108	71	46	110	69	96	63	66	13	65	66	69	26	47	124	19	97	47
78	123	50	24	53	106	60	112	44	52	33	30	19	93	35	32	116	47
90	78	99	83	35	62	47	59	34	21	55	112	70	29	65	111	111	116
51	19	50	126	33	58	10	25	60	43	33	7	103	30	3	122	36	35
8	101	0	125	127	88	58	94	60	4	67	103	17	112	108	98	59	126
70	122	54	116	50	114	124	7	48	32	65	126	70	54	117	116	48	119
24	121	1	21	4	18	68	26	25	75	97	72	0	36	80	97	118	82
73	96	106	5	113	55	15	93	86	81	90	120	2	19	32	44	36	60
25	81	29	7	9	58	29	82	27	97	14	16	94	56	121	3	89	119
42	29	35	46	21	112	26	77	55	77	45	64	81	36	28	76	107	118
118	113	41	1	48	118	104	43	55	112	72	113	20	87	15	1	0	61
40	50	34	35	96	73	59	66	42	72	61	72	72	53	38	64	97	55
8	2	80	63	90	106	47	89	66	18	74	8	7	79	62	88	100	37
85	101	62	1	71	83	68	81	95	127	8	87	41	107	55	100	68	109
102	117	76	9	92	22	14	20	3	9	20	123	12	97	19	75	127	82
73	78	47	115	107	44	103	17	36	80	2	73	113	119	5	97	125	23
70	0	118	14	79	21	81	109	70	108	62	62	100	86	58	21	43	78
121	114	20	12	121	6	20	36	82	29	37	48	90	53	106	97	70	75
101	51	74	70	38	61	105	17	20	2	30	91	5	4	33	91	71	6
32	85	126	8	124	12	31	73	78	13	86	99	19	61	79	67	68	42
68	121	87	127	47	49	96	12	43	127	127	59	113	33	1	76	50	83
1	79	30	82	118	41	107	41	56	44	61	65	81	11	97	48	95	47
110	1	79	57	79	62	102	6	77	91	4	66	8	34	118	113	98	62
47	89	49	36	29	45	79	117	42	62	118	29	20	69	27	11	67	52
34	111	53	127	111	82	81	44	35	87	120	85	1	102	64	48	70	11
9	118	20	120	47	74	69	41	10	112	18	69	40	73	115	21	10	30
106	102	33	3	114	39	65	118	48	9	59	21	95	65	43	31	116	7
43	45	50	127	103	31	39	44	47	17	19	84	114	51	48	69	19	9
48	41	7	6	21	96	108	6	8	17	26	100	9	107	91	94	108	13
65	95	57	43	17	126	9	27	25	19	25	51	5	75	78	63	113	45
50	29	27	52	86	40	4	42	96	98	40	109	28	90	16	63	50	101
56	56	21	103	24	100	12	61	65	38	94	21	79	33	28	80	127	45
36	16	83	109	74	84	125	78	19	6	34	17	104	55	55	57	127	35
91	86	103	54	44	99	54	12	115	122	94	103	93	46	83	27	54	81
64	35	79	26	80	38	65	86	33	35	80	71	42	117	90	37	31	33
80	127	66	115	41	54	21	12	29	83	58	99	98	60	58	78	99	53
119	12	16	55	8	97	57	49	51	10	51	28	92	123	58	3	26	120
113	38	126	80	91	77	40	109	35	0	74	80	94	9	106	92	26	14
0	9	27	61	2	110	55	73	50	96	77	112	101	44	47	50	69	83
97	81	120	78	93	5	125	85	68	37	18	8	119	28	82	85	106	67
124	8	44	120	85	0	95	42	5	82	21	76	12	32	66	57	55	116
31	77	13	25	23	69	116	52	120	29	75	23	118	56	85	78	16	68
53	86	96	66	25	49	102	110	121	0	47	36	48	126	35	25	124	102
85	24	69	125	61	101	124	25	118	13	104	92	50	39	39	92	8	26
81	48	117	23	88	69	19	103	17	116	102	42	41	79	6	41	58	64
95	89	70	108	124	94	99	46	104	104	88	36	14	118	51	115	93	65
108	43	49	65	88	101	55	86	102	84	93	79	103	61	101	63	38	59
73	81	44	39	37	20	99	90	9	27	102	58	17	33	48	22	119	6
92	75	100	91	20	118	36	76	59	5	30	48	56	62	82	80	65	70
77	15	79	41	77	75	53	15	6	97	107	34	31	58	54	1	34	11
69	124	87	76	28	32	44	32	91	106	33	101	36	122	50	24	123	34
34	14	39	113	16	72	6	21	11	116	15	16	44	3	51	46	122	10
31	23	46	116	27	80	28	79	111	17	67	119	70	79	25	20	74	78
53	1	43	35	119	117	54	21	36	84	39	36	47	20	22	26	42	44
2	26	87	72	68	39	25	109	120	41	62	69	22	42	11	78	124	50
88	124	86	35	50	76	96	27	100	60	110	44	68	72	2	120	26	25
5	10	99	117	102	80	80	78	41	90	120	29	67	73	40	50	51	7
80	78	18	78	78	62	39	43	71	47	18	101	15	90	99	76	2	98
101	45	23	115	53	106	42	72	55	57	9	22	36	42	4	104	35	107
9	123	72	90	112	1	100	42	71	116	20	10	12	11	36	49	113	78
27	77	4	52	77	114	57	77	34	95	59	59	59	91	84	8	50	103
67	4	102	55	58	113	60	39	109	118	93	53	4	101	83	110	33	1
108	67	4	45	7	124	110	108	8	22	43	126	1	103	36	99	126	107
37	3	49	5	93	7	47	37	127	37	35	66	66	22	84	85	83	90
111	99	91	62	111	116	20	89	121	83	13	114	54	60	64	119	61	71
15	94	118	29	14	74	11	111	80	98	107	36	32	76	25	105	19	117
118	59	82	121	102	26	75	106	0	53	46	78	114	4	91	51	67	104
